Gene_model,padj,GN,Hw1.Anti,Hw2.Anti,Wt1.Anti,Wt2.Anti,Hw1.Heat,Hw2.Heat,Wt1.Heat,Wt2.Heat,Hw1.Anti.Heat,Hw2.Anti.Heat,Wt1.Anti.Heat,Wt2.Anti.Heat
SymbC1.scaffold6282.1,0.00000815,fusA,-7.350256832,-9.810755626,-8.037394874,-13.73317677,-8.739826154,-3.186018951,-2.612886787,-3.319919762,-19.80996586,-14.66712514,-16.86424722,-15.36220936
SymbC1.scaffold4630.1,0.0000101,URA7,-1.082856935,-1.744551277,0.55553564,-2.01413694,-4.296555712,-2.593343133,-1.351937845,0.437176428,-4.335012803,-3.637245553,-2.150319596,-1.707657334
SymbC1.scaffold3133.1,0.0000103,DHX38,-1.806253311,-2.155477707,-1.866248611,-2.62154461,-4.35192162,-1.742612157,-1.103287808,1.109358252,-6.36141361,-5.071083098,-4.744833837,-2.990778419
SymbC1.scaffold9506.1,0.0000104,Acly,-1.721334055,-1.263227834,-2.228100615,-9.03860035,-1.108357178,2.838928005,0.708052903,3.590649796,-5.963474124,-4.237039197,-7.028569152,-7.842203138
SymbC1.scaffold1288.3,0.0000106,FTSH10,-1.802960564,-2.351198807,-0.59254113,-2.041778412,-3.719562905,-1.683769561,-1.579725852,0.737941042,-5.430515755,-4.141063725,-4.659464682,-2.89909274
SymbC1.scaffold620.14,0.000011,secA,-0.799144897,-1.254148803,-0.228321716,-2.472774603,-3.505409016,-1.596271392,-0.493981236,-0.072563706,-4.869150926,-4.23879618,-2.464878413,-3.122293585
SymbC1.scaffold4330.1,0.0000125,rsmA,-2.321928095,-3.058893689,-5,-5.409390936,0,0.263034406,1.022367813,-0.539026217,0,-1.736965594,-4.415037499,0
SymbC1.scaffold12411.1,0.0000127,ML5,-3.492930427,-6.729949774,-2.611242121,-13.46920984,-5.707947407,-4.17492833,0.551307672,1.162621971,-8.083164343,-5.343407822,-4.184931892,-7.179284483
SymbC1.scaffold2574.4,0.0000139,dnaJ,-2.404073077,-3.17508745,-2.534739922,-5.151588942,-3.405772006,-1.183358824,-0.682047642,-1.482845707,-4.814238266,-4.587747627,-5.72474148,-6.925786412
SymbC1.scaffold4763.1,0.0000139,SUF4,-2.503718111,-4.257951226,-4.054693776,-4.95757675,-3.182954528,-1.526666872,-1.745481113,-1.249746072,-6.467890032,-4.572846214,-6.69515139,-5.108584538
SymbC1.scaffold2567.5,0.0000153,Rraga,-2.471419969,-3.623132167,-0.877099698,-5.438774743,-3.900263268,-1.582346553,0.011337544,-1.026244099,-5.994981925,-5.298553587,-3.688467076,-5.116846648
SymbC1.scaffold9358.1,0.0000157,GIP,-1.312781834,-2.908661393,-1.365649472,-6.653687199,-4.513569051,-2.392285807,0.360175564,-0.090479517,-4.692590845,-4.160345653,-3.043721377,-8.86870009
SymbC1.scaffold5345.4,0.0000172,AK812_SmicGene25788,-5.778858329,-7.592473074,-3.92721058,-9.686182157,-5.600137475,-2.41658987,4.676474549,2.260106214,-18.66919066,-10.73532288,-8.737011197,-9.787748171
SymbC1.scaffold14557.2,0.0000193,AK812_SmicGene1499,-0.672323973,-1.391618121,-0.382291119,-2.578908767,-3.759556059,-2.438167777,-1.526301885,-0.465865254,-2.895222154,-3.103035768,-2.75455205,-2.937653803
SymbC1.scaffold8222.1,0.0000222,RPA1,-3.004254251,-5.102278289,-3.064982864,-5.748476192,-2.83940919,-1.469903675,-1.57673676,-2.263044914,-4.674209265,-5.015561878,-6.824750496,-7.339710928
SymbC1.scaffold3136.2,0.0000224,impdh,-2.095803457,-3.612659482,-3.466318004,-9.0238392,-2.262926403,-1.22851053,1.009718129,1.099332032,-3.571952471,-3.996247865,-2.674559937,-3.298699041
SymbC1.scaffold7352.1,0.0000245,AIP1,-1.958844327,-2.692858188,-2.180915785,-6.185866545,-3.471085099,-0.718149344,1.364794744,0.251094793,-6.782901878,-5.469932478,-4.070389328,-2.378511623
SymbC1.scaffold5575.4,0.0000307,KHSRP,-1.474528854,-2.508916097,-1.870821093,-3.243332481,-3.387118086,-1.51195258,-0.081679095,-0.506358328,-4.522632701,-3.972000065,-3.540202152,-4.795014502
SymbC1.scaffold6845.2,0.0000312,RPS6,-1.307168846,-2.202577429,-1.221235519,-3.377281539,-3.200540185,-1.702763505,-0.317127109,-0.456092626,-4.085269131,-4.019590728,-3.019005762,-3.93053518
SymbC1.scaffold2069.5,0.000033,ODA11,-6.585533745,-8.999825858,-2.71769726,-8.154750971,-8.467183285,-4.549468137,2.604629534,-0.276460142,-9.516510997,-8.595076136,-5.172351739,-6.314427992
SymbC1.scaffold2573.1,0.0000353,DNAH9,-0.741081703,-1.883656216,-1.079461991,-2.894817763,-4.364012054,-2.784526993,-0.400640439,-0.907007172,-5.522441416,-4.292321633,-1.058043008,-2.506616449
SymbC1.scaffold6108.5,0.0000391,ppdK,-4.590428881,-9.134693468,0.178780889,-6.376596068,-9.767537568,-5.196311021,1.023093763,-0.437745335,-15.68320823,-8.527926956,-9.345219342,-12.1528174
SymbC1.scaffold4053.3,0.0000432,PFOR,-1.963644976,-4.186449439,-4.155476403,-12.71770966,-5.771129907,-1.511761378,-0.495014919,0.748505873,-4.62316034,-8.590612637,-11.5348038,-2.151770981
SymbC1.scaffold2783.6,0.0000437,Hcn4,-0.429301399,-0.248124923,-1.167693993,-3.131418761,-2.271315812,-1.557114516,-0.97924144,-0.832010286,-4.471322919,-4.136782717,-3.605322197,-3.502902681
SymbC1.scaffold2575.1,0.0000556,FNTB,-1.491853096,-0.684498174,-0.251538767,-3.847996907,-4.254813899,0.192645078,0.511899039,-0.409323848,-5.398743692,-2.485426827,-0.506959989,-5.639410285
SymbC1.scaffold5602.4,0.0000565,GBE1,0.584962501,2.087462841,-1.762823762,0,0,-0.263034406,1.474000764,-8.431845787,-0.263034406,1.169925001,-1.303606814,-5.209453366
SymbC1.scaffold5363.2,0.0000596,Top3b,-1.502981344,-3.275433321,-0.602076942,-4.438615263,-6.610020572,-3.563788544,-1.347690461,0.97737822,-10.55350027,-8.834298071,-6.772542987,-5.190287573
SymbC1.scaffold451.4,0.0000607,SPAC56F8.03,-1.232473135,-1.927962093,-2.532495081,-8.830889679,-1.891920623,-0.733963106,2.763018051,1.213305709,-3.436298653,-4.76611194,-0.229932311,-4.353041114
SymbC1.scaffold8593.1,0.0000617,PDPK2,-2.014626607,-2.077486631,-1.912248128,-3.425021588,-5.613199169,-2.345891338,-1.063727463,0.544117448,-5.936076093,-2.934411658,-4.307833265,-4.857980995
SymbC1.scaffold11067.1,0.0000639,ADGB,-1.354618751,-1.135537239,-0.418331875,-2.022087246,-4.298978392,-1.880965665,0.611442909,1.303332953,-6.540282769,-5.435554517,-1.313149638,-3.169445511
SymbC1.scaffold649.2,0.0000711,SHM4,-4.276074704,-6.920172682,-2.447606169,-6.88535046,-7.442083902,-3.870536454,-1.917336534,-1.630941549,-8.562280854,-8.415454424,-8.565694512,-8.54014284
SymbC1.scaffold2695.11,0.0000816,AK812_SmicGene26895,-2.302750947,-3.319710477,-1.146070171,-3.894009304,-4.515575755,-2.166858035,-0.388859562,-1.025911192,-4.502034868,-3.546655431,-3.845349087,-5.637441331
SymbC1.scaffold507.6,0.0000816,At3g62310,-2.005597369,-2.931581458,-1.874283691,-1.581413434,-4.443892362,-1.987209877,-3.161656338,1.648725229,-4.1258259,-3.519184073,-6.383638845,-1.981584429
SymbC1.scaffold1375.1,0.0000881,CHR23,-1.936949032,-3.053731622,-1.506358056,-3.762905425,-3.179396132,-1.693305736,-0.742648851,-0.339930241,-5.22089116,-4.570500558,-5.100331798,-4.592896544
SymbC1.scaffold249.4,0.000105,RH35,-3.920021592,-5.806449795,-2.184049261,-7.16734122,-7.831776511,-3.27533552,-1.590678326,-0.389685341,-10.7541137,-8.425215903,-6.113909202,-8.740417098
SymbC1.scaffold1379.4,0.000109,DED1,-3.358002453,-5.419964308,-1.211303472,-6.407843851,-2.84298095,-1.478527754,0.839994824,-2.755476924,-4.636938554,-6.233203785,-5.504214503,-8.030774202
SymbC1.scaffold120.4,0.000116,ENDOV,-1.771093055,-3.009765646,-1.435291669,-2.039077609,-3.938289385,-2.101925573,-0.582730447,0.148080612,-3.776831877,-2.819838995,-4.14028679,-2.846417034
SymbC1.scaffold2496.5,0.000119,AK812_SmicGene42205,-1.728647413,-2.648896391,-2.38695733,-5.225543558,-3.962607536,-2.137060368,-0.390201042,-2.684498174,-3.19538444,-3.803130336,-4.747683709,-5.880895387
SymbC1.scaffold43.5,0.000121,bglX,-2.07118386,-3.52553019,-2.571429345,-3.928661218,-3.852316675,-2.181082791,-1.790752955,-1.274515152,-6.211147664,-4.972840858,-5.655351829,-3.869160207
SymbC1.scaffold1915.2,0.000129,PU1,-1.566096186,-2.871868988,-1.80128677,-4.101833039,-3.267523253,-1.333989251,-0.580645283,0.280037597,-4.916277624,-4.635317577,-4.401200388,-4.031097076
SymbC1.scaffold5825.1,0.000136,GART,-1.141266098,-2.284110844,-2.253421367,-4.090637467,-3.500891588,-1.819782012,-0.403350404,-0.565425773,-3.580631434,-3.863204292,-4.425018854,-3.65674094
SymbC1.scaffold5913.1,0.000142,bPT2,-0.649502753,-0.971430848,0.491853096,-3.927724099,-4,-1.459431619,2.50779464,-0.686716,-3.862496476,-3.389042291,-0.207993042,-3.731803889
SymbC1.scaffold3751.1,0.000144,Catsper1,-2.7338747,-4.395072786,-0.234465254,-5.63005039,-5.022787737,-3.069540933,0.847996907,-1.585656271,-5.003335375,-3.91753784,-3.129283017,-6.393011193
SymbC1.scaffold4234.1,0.000147,RUB1,-5.334235786,-7.303764298,-2.179124177,-11.61978837,-10.01016287,-5.59678963,-1.203901259,-4.404854732,-12.33411911,-11.65173905,-10.98329699,-15.88841172
SymbC1.scaffold724.13,0.000152,dnc,-2.543215813,-4.400568788,-2.457935442,-7.224623087,-7.074260771,-3.547951193,-0.902945231,-0.069566192,-7.206101571,-6.643091621,-6.2531475,-6.769922003
SymbC1.scaffold4088.3,0.000156,MGLL,-1.225448045,-1.026855577,0.355557437,-2.419577961,-3.306815449,-1.956327817,0.124214782,-0.481500534,-3.651420212,-3.239288595,-2.477273189,-3.634996202
SymbC1.scaffold1202.3,0.000163,FAM72A,-1.461766215,-2.47997081,-1.983356914,-4.151479334,-3.844409201,-1.410522018,0.619432907,-0.007089425,-5.055469331,-5.28766527,-4.173982824,-4.727566896
SymbC1.scaffold4461.3,0.000188,xpot,-1.395928676,-1.289013472,-1.584962501,-1.159871337,-4.169925001,0.354842717,-2.192645078,0.483984853,-7.524274574,-4.285402219,-5.514573173,-4.060335663
SymbC1.scaffold4630.2,0.000209,HSPA1L,-1.955027631,-2.977328259,-1.590302399,-3.483991681,-4.353174133,-1.80262223,-1.033909051,-0.86154893,-5.585297061,-3.994055222,-4.315984485,-5.076149684
SymbC1.scaffold4297.3,0.000233,BIP5,-2.845300372,-4.667219957,-1.017905304,-6.07895951,-7.917226627,-3.713808333,-0.201645265,0.45645315,-10.91848822,-9.330123253,-5.322618933,-6.871684056
SymbC1.scaffold2106.11,0.000247,Dnah1,-1.349546586,-1.957658016,-1.772455973,-3.936399838,-3.606551516,-1.947784127,0.009735016,-0.395053354,-4.034435895,-3.615414285,-2.460331709,-4.117325642
SymbC1.scaffold7971.2,0.000248,CPK8,-2.99095486,-4.1155707,-0.087462841,0,-3.65325945,-1.297680549,-4.087462841,3.584962501,-5.583638398,-3.947738078,0,0
SymbC1.scaffold91.17,0.000254,PGK2,-0.961481545,-2.650010913,0.209336674,-13.07937845,-5.506195301,-2.260133486,5.001591914,0.887151163,-9.130209058,-9.302285951,-0.604725991,-8.157478796
SymbC1.scaffold845.4,0.000265,iksA,-1.397047575,-2.675687487,-1.468764963,-4.054726055,-3.526563078,-2.28913816,-0.463407553,-1.232611485,-6.102471811,-4.009984089,-4.717501177,-5.158837953
SymbC1.scaffold6067.2,0.000281,ASPM,-2.899712218,-2.488037943,-0.328935518,-9.40360154,-9.604458292,-1.479803432,2.714159094,0.596481851,-10.85799941,-4.30180513,-2.29200263,-2.801248903
SymbC1.scaffold4148.1,0.000283,THO3,-0.736965594,-1.736965594,0,0,-0.932885804,-0.678071905,3.94753258,0.66801824,-6.129283017,-2,2.351074441,-2.906890596
SymbC1.scaffold2797.1,0.00029,Ctob_010821,-1.4846026,-2.586852658,-1.371408616,-4.162787059,-3.903899838,-2.316874867,-0.032150524,-0.86764419,-4.046823221,-3.574371089,-3.792523303,-4.655708098
SymbC1.scaffold7888.1,0.000303,SPAC4G8.04,-2.2393655,-4.232479114,-3.169925001,0,-1.510961919,-0.507686787,-1,1.736965594,-5.640244936,-7.122396631,0,0
SymbC1.scaffold968.4,0.000339,CLPB1,-1.343710517,-1.764042316,-0.584515084,-3.108996003,-3.660405056,-1.349942471,-1.310340121,1.213722827,-7.201691512,-4.50779464,-3.854660637,-2.281635389
SymbC1.scaffold954.10,0.000342,DHC10,-1.74512925,-2.456748858,-1.729557906,-3.874760393,-3.667487154,-1.519890237,-0.026026735,0.3283119,-5.382806505,-3.375453354,-2.779575155,-4.166672742
SymbC1.scaffold1073.1,0.000345,frs-2,-1.348603184,-2.904402591,-1.942246429,-4.920331969,-3.014765128,-1.398018915,-1.099402422,-1.12971923,-3.178372248,-3.15207076,-4.657536364,-4.951423496
SymbC1.scaffold1541.4,0.000348,AK812_SmicGene5851,-1.328601384,-2.310425793,-0.866741884,-2.534613597,-3.695935219,-2.369924727,-0.576889335,0.152574711,-3.907080486,-3.971177165,-2.632567876,-3.237359473
SymbC1.scaffold7610.3,0.000366,Psmc6,-1.855730591,-2.76489406,-0.772434803,-3.182222784,-4.279498016,-2.017277578,-0.236282176,0.630144034,-4.925947778,-4.115703486,-2.678472403,-3.664234903
SymbC1.scaffold202.13,0.000368,Atp5a1,-5.130451626,-6.92258383,-2.043026407,-7.301721523,-9.842031902,-3.307373254,1.300086079,-1.775709295,-8.934639269,-6.437171659,-3.375008167,-7.938059916
SymbC1.scaffold1148.2,0.000397,NNT,-2.04683825,-5.377945772,-2.451211112,-7.87036472,-3.643925766,-1.993305347,2.40053793,-0.950011864,-7.032421478,-7.885696373,-4.866248611,-4.197939378
SymbC1.scaffold2243.2,0.000402,Ot13g03040,-1.681452063,-2.4619241,-1.121789547,-3.233645322,-3.633934577,-1.391385635,-0.654974192,0.414941029,-5.071954948,-3.320607953,-3.972064816,-3.0473015
SymbC1.scaffold5695.1,0.00042,modA,-0.779994752,-1.613597124,-1.177664499,-3.84861095,-4.335603032,-1.13058411,0.444772707,1.156014107,-6.041745702,-5.761840263,-4.140448504,-4.033119275
SymbC1.scaffold2391.2,0.000423,ALATS,-1.295112458,-2.31576666,-1.829517081,-3.049821026,-3.193769795,-1.800872994,-0.942626359,0.268371396,-2.835808596,-2.965150101,-3.790681853,-2.693896872
SymbC1.scaffold114.1,0.00044,RPT1A,-1.598242785,-2.016307977,-0.982617607,-4.672289917,-4.153470206,-1.827456128,0.134501036,-0.389639804,-4.432247348,-3.760341932,-2.361240147,-3.151622987
SymbC1.scaffold3881.7,0.000499,CCT6A,-0.876298015,-0.049780836,-0.106915204,-3.721179627,-3.446952679,-1.366127899,0.230780207,-0.068861858,-2.672019235,-2.273018494,-0.837728571,-3.295309644
SymbC1.scaffold8457.1,0.000502,GCLC,-1.422820363,-2.088150657,-0.67555601,-2.401999976,-3.788429087,-2.129049101,-0.347274419,-0.825257982,-3.969368871,-2.497207535,-3.096881879,-3.835896503
SymbC1.scaffold826.1,0.000511,cpsf5,-2.029862801,-3.614714669,-2.234337674,-4.255919554,-4.180287952,-1.337081572,0.079324294,0.095187411,-5.601821998,-4.293445719,-3.929618869,-5.212699025
SymbC1.scaffold2496.8,0.000524,Dnah5,-2.608359354,-4.491845345,-1.684841655,-4.961350952,-3.957102042,-1.74507824,0.212608138,-1.31880096,-1.999699741,-3.925891558,-3.213925,-4.677254931
SymbC1.scaffold2368.3,0.000549,DHC1,-2.709140593,-4.821142747,-4.079761576,-4.924634683,-7.873749306,-3.328305582,-3.733977157,0.269592415,-10.65327064,-9.09864897,-11.1190099,-8.299445479
SymbC1.scaffold2845.2,0.000613,At1g70730,-2.09310161,-3.153715719,-0.74805695,-3.549098985,-9.214750674,-3.547304588,-0.915238724,-0.477204784,-7.752205179,-2.402098444,-1.930472895,-3.106402221
SymbC1.scaffold4973.3,0.000621,fumB,-1.645823286,-2.90409183,-1.17882934,-3.079327045,-3.98660284,-1.929939391,-0.837115261,-0.582479713,-5.078153603,-3.977549019,-3.197159938,-4.524462235
SymbC1.scaffold236.11,0.000652,PGIC1,-1.581309094,-2.624950579,-1.414736224,-4.788937559,-3.518394887,-1.958480731,-0.399391469,-0.417937904,-5.094088791,-4.315594793,-3.891051639,-4.988368612
SymbC1.scaffold6124.1,0.000658,TDP1,-1.776612842,-2.763676221,-2.559029347,-5.019899557,-3.234800663,-1.614709844,-0.702714836,-0.557556343,-4.54575596,-3.47175189,-2.627873278,-3.455114939
SymbC1.scaffold3589.1,0.000685,CSB,-1.547010117,-2.325474256,-1.315088466,-2.561476866,-3.212556554,-1.645937894,-1.137414937,0.501260798,-4.180800849,-3.234558045,-3.136105467,-3.642240487
SymbC1.scaffold1416.4,0.00072,Os01g0197200,-1.90914664,-3.361181768,-1.529702698,-4.366776066,-3.038013405,-1.964683424,0.081295576,-0.48728348,-3.465024839,-3.632268215,-3.545712407,-4.334876563
SymbC1.scaffold826.6,0.000802,DIMT1,-1.721528905,-3.219534228,-1.751065791,-5.361505198,-8.841101797,-5.089920584,-2.499527024,-0.938599455,-9.980094939,-6.291554446,-4.40641762,-3.776542697
SymbC1.scaffold4073.1,0.000843,At1g09620,-1.692964598,-2.941352227,-1.403355694,-4.822220272,-4.715687492,-2.012939056,0.848898873,-0.430839968,-5.009046435,-3.637429921,-3.232021123,-5.225068362
SymbC1.scaffold8347.1,0.00086,eIF-2gamma,-1.483306248,-2.697625369,-1.687274542,-6.047114475,-3.087355133,-1.830269314,-0.835213501,-0.435028059,-5.294924909,-4.396013899,-5.506555531,-3.54576249
SymbC1.scaffold3756.4,0.000887,ileS,-0.894658793,-0.990740855,-0.888246419,-2.019305597,-3.530724264,-1.191802679,-0.976482193,0.483919898,-4.378906221,-2.900396529,-2.773110709,-2.06206297
SymbC1.scaffold5006.2,0.00089,At5g26710,-1.337075646,-2.135101418,-0.307988904,-3.816251628,-4.702657616,-2.18505627,0.002958639,-0.232249537,-5.817130171,-3.968046644,-2.214005836,-4.177299489
SymbC1.scaffold4842.4,0.000895,UBA1,-2.330303428,-3.600884643,-2.161398141,-3.4973449,-4.251693593,-2.26052755,-0.970828064,-2.185355042,-4.932682982,-3.430452552,-3.444145208,-5.461479447
SymbC1.scaffold426.2,0.00093,Chek2,-0.340571007,-1.418421872,-1.316559133,-2.607702574,-2.827948117,-2.22894441,-1.200721647,1.32445311,-4.975611265,-4.079368054,-3.333276527,-2.792920634
SymbC1.scaffold739.3,0.00094,PPP5C,-0.909312062,-0.937508954,-0.910528142,-4.321928095,-4.095004379,-1.586825245,-0.279971255,0.885357434,-4.86624334,-4.510589659,-2.877242897,-3.206450877
SymbC1.scaffold344.6,0.000976,AK812_SmicGene39686,-1.019351994,-1.917491725,-0.872315537,-2.499442598,-4.438258726,-1.67269135,-0.998486337,1.274526887,-4.061882847,-2.756484287,-3.859224162,-1.594575287
SymbC1.scaffold304.13,0.001022015,sec61a,-2.310164245,-3.056778962,-0.220667069,-7.876631215,-7.682557764,-4.378686485,-0.325366951,0.44470555,-8.171686321,-8.370349401,-5.936539654,-6.838171987
SymbC1.scaffold1616.6,0.001038413,AK812_SmicGene31214,-1.413611292,-1.851689032,1.125062016,-3.353636955,-2.986106314,-1.30256277,2.058585058,-0.225797355,-4.126424854,-3.575581264,-0.918145163,-5.344648171
SymbC1.scaffold1600.1,0.00109782,unc-104,0,0,0,0,0,0,1.684498174,0,0,0,-1.222392421,0
SymbC1.scaffold4007.3,0.001150029,ppsB,-1.643287034,-1.584055496,-2.246190896,-3.83540254,-3.098824737,-1.101760339,-1.069176469,0.378521655,-5.023075316,-3.364794744,-3.626124594,-3.301598079
SymbC1.scaffold800.2,0.001262616,AK812_SmicGene33715,-2.612605256,-2.978060726,-1.895068473,-5.131928064,-3.377128262,-1.18604622,-0.082795361,-1.231701199,-8.212089356,-5.479331176,-4.599290452,-6.242427606
SymbC1.scaffold1894.1,0.00127366,Mcat,-1.333243408,-1.98632211,-0.130385205,-3.58323782,-4.255390793,-2.030839306,0.088546074,0.322119828,-4.48065711,-4.156427437,-2.956772757,-2.796716402
SymbC1.scaffold213.3,0.001276804,ACAC,-2.998767449,-4.752007986,-2.771953089,-6.917242892,-6.806648486,-3.228050336,-0.034179659,0.646370548,-9.690313983,-9.541270977,-5.78694132,-6.412698624
SymbC1.scaffold2850.1,0.001437666,gapN,-0.165857632,-0.562563308,-0.995540352,-3.514573173,-3.915879379,-1.740660078,-1.843537258,-0.173536255,-6.848063995,-6.441099796,-5.01346226,-4.152003093
SymbC1.scaffold5671.1,0.00157525,TY5A,-0.468048193,-1.113102563,-0.557628934,-2.487881848,-3.345855838,-1.722406225,-1.389058428,0.332192054,-3.459544349,-2.915799253,-2.413860208,-1.920688947
SymbC1.scaffold5548.2,0.001587951,MPA1,-2.47608578,-3.508507258,1.514573173,-3.832890014,-3.46982679,-1.69138456,3.362570079,1.506959989,-3.922832139,-3.784033848,-0.222392421,-2.417852515
SymbC1.scaffold2276.3,0.001816261,Esyt3,-3.795314138,-6.403002241,-2.234624339,-10.68325783,-7.521455023,-3.398732017,0.551339411,0.136227368,-12.21474767,-8.870530375,-5.570501383,-8.791140841
SymbC1.scaffold4815.1,0.001879346,AQR,-2.299107816,-3.344195706,-2.597889365,-5.045972961,-2.223022096,-1.231856401,0.623316744,0.62928044,-5.500930713,-3.949527006,-3.004453323,-4.515886789
SymbC1.scaffold1576.12,0.002032246,Eftud2,-0.64159367,-1.063040184,0.166754148,-2.297753802,-3.454654854,-1.837322642,-0.3995485,-0.134977365,-3.182224514,-2.697309473,-1.52283352,-2.485277112
SymbC1.scaffold3428.2,0.002034657,AK812_SmicGene34664,-0.317590569,-0.369820528,-1.711702142,-1.674843882,-2.395726245,-0.428843299,-0.305141314,0.996388746,-2.801886315,-2.222392421,-4.101456113,-2.016655401
SymbC1.scaffold127.8,0.002096309,AMT1-1,-0.924948726,-1.660721256,-0.438724224,-3.369067524,-3.567972954,-2.073589855,-0.476199096,-1.607967272,-2.687143537,-3.113583262,-2.9650611,-4.713689302
SymbC1.scaffold1889.7,0.002101203,Dync1h1,-1.133351197,-1.463245378,0.486451015,-1.070120944,-4.319897101,-2.416657595,-2.533914446,1.927999322,-5.050052547,-3.822001698,-5.007421249,-1.8417738
SymbC1.scaffold4325.2,0.002102787,HMCN1,-1.350003504,-2.368447824,-0.559102467,-2.296049463,-3.833630946,-1.52782927,-0.781257427,0.983552159,-4.996373183,-5.813231488,-3.645195878,-3.952882713
SymbC1.scaffold4218.1,0.002125671,nasB,-1.047880944,-1.646749679,0.213343997,-2.767163784,-3.378469842,-1.496299001,0.163827287,0.325793131,-4.226665003,-2.55386116,-1.681115251,-2.614476402
