Gene_model,padj,GN,Hw1.Anti,Hw2.Anti,Wt1.Anti,Wt2.Anti,Hw1.Heat,Hw2.Heat,Wt1.Heat,Wt2.Heat,Hw1.Anti.Heat,Hw2.Anti.Heat,Wt1.Anti.Heat,Wt2.Anti.Heat
SymbC1.scaffold460.6,0.002189564,grsT,-1.652462554,-2.475447004,-0.87897736,-2.880192203,-4.321965316,-2.10074631,-0.668894906,0.032134936,-5.283472331,-4.278768291,-4.02908092,-3.872691852
SymbC1.scaffold4027.4,0.002228367,ilvD,-1.370393584,-2.987777563,-1.290273804,-6.525912261,-3.47925706,-1.728677623,0.2952002,1.24535317,-5.859822342,-4.064842955,-2.567187799,-4.532798646
SymbC1.scaffold1632.1,0.002278675,LEUA,-1.082258473,-1.771255485,-0.885933495,-4.385264987,-3.654647401,-1.842875316,0.718808651,-0.215967967,-4.364077529,-3.299621913,-1.893500335,-3.541646297
SymbC1.scaffold496.5,0.002285841,clpC,-1.254159467,-1.98691281,0.133855747,-3.14385753,-4.378474219,-2.252945588,0.882015927,-1.400518659,-3.81263759,-3.039340892,-1.929610672,-3.314719651
SymbC1.scaffold2589.2,0.002328324,ycf24,-1.595016233,-2.462063632,-1.200479167,-3.501964341,-3.272579289,-1.53224924,-0.091326222,-0.181539139,-4.013872175,-3.759835038,-3.188927402,-3.425019624
SymbC1.scaffold428.1,0.00244935,CHLP,-2.9626496,-3.6376875,-3.9765958,-10.81049,-10.25261,-4.0090679,0.84440078,0.1606377,-11.222068,-5.7681198,-4.1491949,-7.4296626
SymbC1.scaffold5190.4,0.002477192,ndor1,-1.631574313,-2.245667548,0.144323036,-2.423471587,-4.099214859,-1.596405512,0.006224648,0.274191046,-6.849600575,-4.073759039,-2.603359982,-2.420191136
SymbC1.scaffold3745.3,0.002507476,GLT1,-1.130412343,-2.540632826,-0.243029681,-2.060642957,-3.747085564,-2.113818756,-0.100507665,0.56613972,-4.988039997,-4.803606965,-2.547442943,-3.048787213
SymbC1.scaffold6541.1,0.002580183,Copb2,-0.595286805,-1.014304155,0.463365368,-3.359973754,-4.789447069,-2.176717404,-0.697099304,1.872212033,-3.799244557,-2.659509454,-1.694031285,-1.764907295
SymbC1.scaffold3181.2,0.002705178,ap1g1,-0.144806888,-0.741842221,-1.058316496,-4.106199404,-3.161321975,-1,0.642123223,0.786885392,-6.619669268,-3.819427754,-4.532247684,0
SymbC1.scaffold714.9,0.002725128,IMPA4,-1.956196438,-3.242688344,-1.983967256,-3.654364799,-3.836531424,-1.778801624,-1.16717439,-0.719172957,-6.354533262,-6.119345397,-5.249203346,-4.860086789
SymbC1.scaffold3366.1,0.002738178,UVR8,-3.341889636,-6.178169858,-1.279576259,-8.281698115,-8.064490834,-3.759709926,-0.433332106,0.437617264,-8.751915511,-7.379555661,-5.801015426,-8.170723279
SymbC1.scaffold1058.1,0.002982779,NRT2.5,-1.498026864,-1.591136268,-0.559083869,-4.11042399,-4.45644776,-0.36491402,0.440916131,1.595769256,-6.800402161,-4.429684275,-2.460680165,-3.733354341
SymbC1.scaffold3350.5,0.003057768,SLC25A17,-0.850204339,-1.775296688,-1.179939426,-3.333551581,-2.959559074,-0.870812497,-0.187779165,0.297214609,-5.714245518,-3.953480155,-4.814517802,-4.604137803
SymbC1.scaffold2781.4,0.003062868,cnnm4,-1.201194296,-2.243581606,-1.219899758,-3.34375631,-3.788808115,-1.509435465,-0.944113444,-0.652472592,-4.164026339,-3.096326117,-3.165725517,-4.188280475
SymbC1.scaffold2208.1,0.003084363,AK812_SmicGene7786,-1.441656384,-2.006564297,-0.248368683,-2.98244048,-3.495094158,-1.906557756,-0.057668787,-0.667774604,-3.769977001,-2.916018085,-1.921553805,-4.168465378
SymbC1.scaffold4695.1,0.003320545,AK812_SmicGene13884,-3.504519508,-4.971645519,-3.435963338,-5.437405312,-3.115477217,0.23200751,0.14134559,-0.820243989,-7.31187443,-4.417085328,-3.953811643,-5.767553914
SymbC1.scaffold688.10,0.003344954,GONST4,-0.415037499,-1.678071905,0,0,-3.584962501,-3,-0.321928095,-1.584962501,-5.584962501,0,0,-1.678071905
SymbC1.scaffold539.3,0.003427377,AK812_SmicGene2419,-2.814210256,-4.946441597,-2.064204797,-5.848372299,-2.703324872,-1.134441884,0.130826482,-2.433098626,-3.938430311,-4.626651837,-5.222167848,-7.647445504
SymbC1.scaffold6469.4,0.003550377,STK33,-1.168453614,-2.143960294,-1.133910663,-3.000466506,-3.338966741,-2.098798476,-1.068651689,-1.066630199,-4.340389631,-3.371816971,-3.751082286,-3.210047708
SymbC1.scaffold9698.2,0.003573845,mkkA,-2.347067141,-3.764403756,-2.119036945,-5.898120386,-3.393278153,-2.612796709,-0.261259018,-1.786503683,-4.939619359,-6.179143531,-5.527639452,-7.187627003
SymbC1.scaffold4455.1,0.003585054,TMN7,-2.930593993,-3.110300015,-1.266475649,-2.313580752,-4.082597086,-0.450119958,-0.773092098,0.25276607,-5.815116775,-3.402098444,-4.208888157,-4.036740547
SymbC1.scaffold3651.5,0.003706605,SVEP1,-1.294047689,-2.401303543,-0.769270687,-3.297629956,-4.028123517,-1.892724349,-0.253294678,-0.034595551,-5.839352812,-4.810262189,-4.500658994,-3.765126687
SymbC1.scaffold380.3,0.00374369,Shal,-1.948959202,-2.213561138,-1.324035938,-4.636331153,-3.334828294,-1.149274492,0.633474124,-0.553211518,-5.318247748,-4.434526937,-3.481614727,-6.64457543
SymbC1.scaffold731.5,0.004045146,yciC,-2.488472497,-3.798367293,-4.750962971,-9.271479843,-6.038771865,-1.362528562,-1.268782548,-2.304181035,-10.15466572,-7.169775006,-9.072097049,-7.631339552
SymbC1.scaffold3249.3,0.004049695,Tldc2,-2.821024057,-1.83309689,-1.810029056,-7.124121312,-5.165262314,-1.225066556,-0.362570079,0.468709432,-4.561684135,-3.169925001,-1.376375879,-3.053731984
SymbC1.scaffold1100.3,0.004160771,pol,-1.775106943,-3.16846841,-1.765946651,-2.809931601,-4.324304629,-1.389103035,-1.076209495,0.816637972,-7.134693164,-4.651530118,-4.351682145,-3.782275258
SymbC1.scaffold5141.3,0.00424366,FRAS1,-4.215282286,-6.874072889,-2.693039131,-9.176495486,-7.12096637,-3.030233365,-1.08785203,-2.500753827,-7.296856112,-7.818287731,-9.13977569,-10.41181852
SymbC1.scaffold1484.4,0.004472612,FEM1B,-1.253608136,-3.040808846,-0.502500341,-0.771761321,-4.558868825,-2.555518723,-0.971985624,1.163698427,-6.558868825,-3.333126301,-3.224966365,-0.938658629
SymbC1.scaffold2084.2,0.004702705,Cyt-b5,1.05246742,2.177998302,3.169925001,0,-3.240314329,-2.459431619,2.584962501,2.021418984,-5.562242424,-3.459431619,2.655351829,-3.115477217
SymbC1.scaffold5575.5,0.005074804,ANK1,-1.458225334,-1.704099188,-1.680886921,-3.081917562,-3.189718871,-2.285402219,0.309116366,1.565462651,-5.074552546,-4.799975392,-1.814266049,-1.976122898
SymbC1.scaffold681.1,0.005286054,Zdhhc8,-2.897793335,-3.759596041,-0.732127037,-4.954418966,-4.658740427,-1.066387397,1.022760465,0.512835549,-5.268577596,-5.333423734,-3.057682528,-2.992893114
SymbC1.scaffold127.14,0.005386406,ap1b1,-1.818513254,-2.218651877,-1.263139269,-2.645328567,-4.317254816,-1.508932264,0.254854446,-2.038667452,-5.050071455,-3.451807298,-2.926279216,-5.317451792
SymbC1.scaffold801.1,0.005411179,Ttn,-1.829792311,-3.444233422,-1.453326651,-8.740678926,-4.866248611,-2.305740175,1.522895966,1.08093469,-4.868228975,-4.416164165,-1.699387978,-3.501652445
SymbC1.scaffold9671.2,0.005445703,SCN11A,-1.886794847,-2.623760441,-0.560142975,-5.217239334,-4.06298306,-1.662657566,0.506437581,-0.146086878,-5.56402158,-3.103230157,-2.84000701,-4.016790782
SymbC1.scaffold466.3,0.005446809,AK812_SmicGene16779,-1.919045504,-3.907363699,-2.141288397,-4.618673713,-3.411136062,-1.436835254,0.235204059,-0.790980124,-4.675774353,-5.872125177,-3.537217073,-5.421227649
SymbC1.scaffold2539.8,0.005452356,proP,-1.284050314,-2.212420637,-0.682638303,-3.887781773,-3.087737274,-2.219046264,-1.372413962,0.372952098,-4.206628867,-3.7153766,-3.239014837,-1.454822365
SymbC1.scaffold578.7,0.005636684,SLC8A2,-1.362763605,-1.347894306,1.181594891,-1.858442273,-4.124223575,-2.596497471,-1.305160928,0.981864091,-4.112159916,-2.844504491,-1.846822175,-1.129645009
SymbC1.scaffold760.3,0.005919883,GABBR2,-2.556243512,-4.101853325,-2.41460574,-4.851613438,-1.956348546,-0.412574224,-0.567812355,0.054260341,-5.336702635,-4.307876846,-4.143793984,-4.217503876
SymbC1.scaffold1853.7,0.006289672,sft2,0,0,0,0,-1.584962501,0,0,1.859822342,0,0,0,0
SymbC1.scaffold322.8,0.007005741,slc25a42,-1.308274227,-2.678016117,-1.66998384,-3.620921442,-3.760789874,-1.833881757,-1.066844237,-0.974378132,-3.286877959,-3.784271309,-3.540074517,-4.059839075
SymbC1.scaffold1211.3,0.007172095,fadB,-1.849475835,-2.80572794,0.35901226,-2.590676152,-5.131602922,-2.465663572,1.877575029,0.884353814,-4.859762619,-3.173482821,-2.003557819,-3.641956657
SymbC1.scaffold2818.3,0.007537311,GRINA,-0.646653763,-2.132746903,-2.247677718,-3.202579586,-3.512027748,-1.544363588,-0.8940859,1.484948098,-7.556421867,-5.83530399,-3.927649156,-2.752648608
SymbC1.scaffold2188.4,0.007654322,MAP3K3,-1.642665777,-2.812590779,-1.240547983,0,-4.185910099,-1.196397213,0.823122238,0.666576266,-4.801921036,-2.748344656,-1.418546285,-3.366322214
SymbC1.scaffold2754.2,0.008011821,Cacna1i,-1.649150489,-1.660646128,-0.112835809,-3.579013234,-2.519867472,-1.584962501,-0.678071905,2.792825243,-4.218288023,-2.440338938,-1.371800405,-0.5334322
SymbC1.scaffold802.5,0.00859538,AK812_SmicGene13956,-1.70284704,-1.822107184,-0.732689752,-3.242585133,-4.875526425,-2.390588091,0.63370562,-1.450213089,-6.685164454,-4.311153623,-1.222292679,-4.842879288
SymbC1.scaffold9141.2,0.008624385,NCS1,-1.283909088,-2.296518864,-0.641603986,-3.45411728,-3.596994865,-2.191523022,-0.594593918,0.183064076,-4.892037897,-4.316132077,-2.319021459,-3.159024933
SymbC1.scaffold3505.1,0.008650224,rskn-1,-1.605002283,-2.852655155,-1.745186101,-4.307560777,-4.156204316,-1.701470092,-0.241862069,0.233017021,-6.870149415,-4.500807546,-4.838655427,-4.493973901
SymbC1.scaffold2748.1,0.008833968,Clk1,-0.394273803,-1.169434871,-1.607408079,-4.533560243,-1.999783046,-0.566374961,-0.218334598,1.711125035,-6.414638743,-5.064548449,-4,-3.411504922
SymbC1.scaffold1854.3,0.008984047,GLYK,-1.600544109,-2.850650699,-1.31869456,-2.96849566,-2.911567676,-1.530993302,-0.345438464,0.933094066,-4.494013671,-3.722134789,-2.769110889,-3.413701052
SymbC1.scaffold664.1,0.009471522,PDK,-1.328591825,-0.960860041,2.653566315,0,-2.508570491,-1.655229364,5.799281622,1.325582689,-4.84644013,-3.558267634,4.360063224,-2.692662368
SymbC1.scaffold409.14,0.009876002,aceE,-1.387886232,-2.235305314,-0.213653498,-2.337060318,-3.153564963,-1.88260286,-0.754723727,-0.410989797,-3.829707055,-3.255234223,-2.900783848,-3.019729288
SymbC1.scaffold83.11,0.010913769,aifA,-3.305751004,-5.409768095,-2.191343985,-7.856784631,-4.199740028,-2.332835781,-0.120294234,-1.495515645,-3.706982704,-4.439750985,-4.390531909,-5.065371253
SymbC1.scaffold10331.2,0.011090516,kmo,-0.645650427,-1.093672789,-1.101252146,-2.435533351,-3.625807446,-2.034320073,-1.517495408,3.561714694,-9.603087369,-6.941210669,-4.832032543,-1.300608371
SymbC1.scaffold2413.1,0.011752601,AK812_SmicGene42885,-1.139317057,-1.288469254,-0.326970787,-2.406612536,-4.779503313,-2.504217795,-1.32332335,0.353345302,-4.853546251,-3.792231341,-3.205671449,-2.978515662
SymbC1.scaffold2503.2,0.013360655,PRKAA1,-2.129608103,-3.612690989,-0.819559684,-5.402344583,-2.888187769,-1.932885804,0.28623498,-0.698987381,-7.567027158,-6.290437809,-3.87928292,-6.946473366
SymbC1.scaffold3185.7,0.013691232,GST1,-1.869763832,-0.092156253,-0.098403704,-3.437063806,-4.797076848,-1.530514717,1.539874611,-0.119251819,-5.166384644,-3.600904045,-0.378855163,-4.362570079
SymbC1.scaffold6251.1,0.014084157,PFP-BETA1,-1.134838463,-0.688025939,0.020295115,-3.510961919,-4.612094593,-1.999774561,-0.896164189,1.434481917,-5.906019772,-4.213178199,-1.925257101,-1.964810572
SymbC1.scaffold6303.1,0.01437176,pme-5,-2.391154206,-3.699703271,-1.734097412,-5.127885521,-3.12116896,-1.899071091,-0.274333872,-0.781585906,-5.731689087,-6.243454037,-4.621447978,-6.42075115
SymbC1.scaffold310.10,0.014618433,rpc2,-2,-4.415037499,-1.678071905,0,-4.222392421,-1,3.607330314,0.447458977,-6.392317423,0,1.129283017,0
SymbC1.scaffold5939.4,0.014966039,SPY,-0.072415391,-0.197651574,-0.9177466,-3.382850213,-3.255751932,-1.448195986,-1.062096121,0.773223482,-5.123359799,-4.862201778,-3.221271881,-3.147420269
SymbC1.scaffold3306.6,0.015805381,yojK,-1.624170798,-2.591308911,-2.31006794,-2.447059954,-3.3705468,-1.068378093,-0.630782156,-0.606205117,-6.403217169,-4.979110755,-4.187352073,-5.08330296
SymbC1.scaffold1808.2,0.0164537,cgt,-1.222322815,-1.77206604,-1.077584362,-2.506941401,-4.045444567,-1.825128734,-0.756083343,0.663085282,-3.877674644,-3.95307654,-3.53383707,-2.663184317
SymbC1.scaffold535.6,0.016921649,ppsA,-1.918117535,-2.803387828,-1.501641849,-2.991637416,-3.496500473,-1.852101305,-1.153903049,0.229661891,-4.668755221,-3.277681182,-4.202645661,-3.311054291
SymbC1.scaffold1466.4,0.017512182,rihB,-0.960592647,-0.718391744,-0.643784501,-3.430997891,-2.652012359,-1.040641984,0.917082324,0.9212055,-3.548264435,-2.876193798,-1.73438705,-4.292781749
SymbC1.scaffold227.10,0.017825195,ACP5,-2.841470237,-4.934884664,-1.922064536,-5.879803413,-7.094513498,-4.020129993,-2.439360403,-0.476114229,-8.189757964,-8.442006256,-6.864108529,-6.18765033
SymbC1.scaffold651.11,0.019097421,VPS11,-1.108681094,-1.55704038,0.670328401,-2.354055066,-3.188265084,-1.602392915,-1.733980646,1.251421708,-5.898609798,-4.154062034,-3.673018677,-0.454927188
SymbC1.scaffold4833.1,0.019247714,ECA1,-3.183797176,-4.708434032,-4.135112096,-9.654254123,-4.665538956,-1.452286012,-0.277965752,-4.998902295,-3.273221534,-4.609525754,-8.624047709,-10.29811031
SymbC1.scaffold51.2,0.019838202,PTPMT1,-2.204415755,-3.509366168,-1.24623224,-4.858730121,-3.985493737,-2.218072963,-0.429442565,-1.258089462,-5.231395266,-4.664448429,-3.949348804,-5.221389628
SymbC1.scaffold2225.3,0.020028592,pyr-1,-0.544044291,-0.433861374,-1.693975965,-4.034366659,-3.539026217,-1.506959989,-1.470499218,-0.557861527,-7.75731424,-4.176811387,-5.389362456,-5.61932916
SymbC1.scaffold1096.3,0.020121104,HISN4,-1.129231949,-2.23876764,-1.680735235,-3.007018233,-3.849653038,-1.957947618,-0.733595123,-1.414049682,-6.469380957,-4.026364704,-3.090536086,-3.340110731
SymbC1.scaffold8076.3,0.020214095,tnaA,-1.631836439,-2.010003373,-1.053242021,-3.246740598,-3.192645078,-1.409875794,-0.57800974,1.167944637,-5.591194454,-2.802193217,-2.564203941,-2.491853096
SymbC1.scaffold4111.1,0.020265086,HERC4,-1.328413414,-1.917480313,-1.890375509,-4.285244124,-3.292894986,-1.204403049,-1.326401571,-0.309863291,-5.524751387,-4.255559285,-5.054928877,-5.026785943
SymbC1.scaffold10308.1,0.020728442,Ranbp2,-2.217845897,-3.560403585,-1.246495495,-4.68571284,-3.728466164,-2.253417185,-0.387949954,-0.84124434,-3.713680072,-3.016674314,-3.598322662,-4.515341663
SymbC1.scaffold5250.2,0.021903898,pckA,-1.253786002,-2.643784074,-1.437345279,-4.563395441,-2.722344307,-0.461872927,0.246262081,1.161118412,-4.991951017,-3.274026018,-2.799446751,-3.258166058
SymbC1.scaffold2004.1,0.022340556,proRS,-1.388571889,-1.663173623,0.396178472,-1.691586712,-4.511104595,-1.935331742,0.301169535,1.858154929,-7.873730333,-4.383384298,-2.714245518,-2.79027399
SymbC1.scaffold1222.3,0.022572534,ttc30a,-2.142211591,-2.861967895,-1.513393393,-6.31187443,-3.742944447,-1.736965594,-0.058047285,0.281023778,-5.873853508,-4.039784866,-3.440311043,-5.036784586
SymbC1.scaffold2952.4,0.022670509,ada,0,0,0,0,0,0,-0.192645078,0,0,0,0.736965594,0
SymbC1.scaffold1585.9,0.024203458,KIF3A,-1.213175838,-1.669427934,-0.745869382,-2.767408424,-4.025840942,-1.780882711,-0.250198301,-0.011801993,-4.246666841,-4.512393875,-3.085306323,-4.086894752
SymbC1.scaffold1845.2,0.024203905,Rpl3,-1.052663228,-0.524644525,-0.792564516,-3.974004791,-4.52713332,-1.341649428,-1.536343796,1.121071234,-6.565483493,-3.738767837,-4.449676802,-3.343954401
SymbC1.scaffold9974.1,0.025466179,At4g34450,-1.339083953,-1.668859909,-0.591767679,-2.691272051,-4.288980126,-1.651704052,-2.540635469,1.043557799,-5.655519107,-3.46727948,-3.593102889,-1.055977874
SymbC1.scaffold703.8,0.025817092,Wdr35,-2.621488377,-3.001422075,-0.810029056,-5.43923847,-3.831280761,-1.106368625,0.756601622,-2.210896782,-2.785766102,-4.150762744,-3.339850003,-7.129283017
SymbC1.scaffold714.1,0.025855797,ODA4,-2.947263821,-4.781305895,-2.130685494,-5.754604868,-3.368498233,-1.538202068,0.146235372,-1.592084988,-4.823885288,-4.149293589,-4.708375276,-6.37203788
SymbC1.scaffold6721.2,0.0267403,Prpf8,-1.869433456,-3.263449936,-0.093989748,-4.157056199,-2.422737328,-2.321275144,-0.547987476,-1.501439145,-3.895217482,-3.711146629,-3.192617587,-4.764473551
SymbC1.scaffold128.2,0.027378472,CFAP251,-1.651473897,-2.099996416,-0.414495294,-1.983462733,-4.453734479,-2.082834936,-0.48686907,0.241283617,-5.35185533,-4.181495828,-3.827926532,-2.960602651
SymbC1.scaffold2295.3,0.02771482,NOP14,-2.020262958,-3.401325914,-1.170836869,-2.445741518,-4.854156139,-2.142359114,-0.417276111,0.161604938,-5.862202896,-4.595531742,-3.047834017,-3.801426506
SymbC1.scaffold8353.2,0.027765033,AK812_SmicGene43656,-2.084603002,-3.624804527,-2.397941823,-3.40103059,-3.502749399,-1.994174687,-0.74795594,-1.606251379,-3.782151465,-4.370535234,-4.22951916,-5.05933924
SymbC1.scaffold879.9,0.028006115,ruvbl1,-2.264561792,-3.499650012,-2.759673616,-5.807469928,-2.903533878,-0.581273685,0.080304828,-0.343773064,-5.375738872,-4.114137223,-4.831134862,-6.504400861
SymbC1.scaffold2699.3,0.028554922,UBE4B,-1.690369166,-3.370035377,-1.749492903,-4.374781458,-2.99039259,-1.171271427,-0.478701534,-1.029393653,-3.894320325,-3.545666942,-3.848157792,-4.22370505
SymbC1.scaffold365.6,0.029224797,RPN2A,-0.591848886,-0.784493964,-2.169925001,0,-5.977279923,-2,-4.339850003,-4.584962501,-6.714245518,-5,0,-5.584962501
SymbC1.scaffold15053.2,0.029951063,DNAH7,-1.981840006,-2.966072691,-2.005538184,-3.106915204,-3.526410318,-1.308122295,-0.402873681,-1.914816705,-6.985841937,-4.448900951,-5.32336188,-5.196397213
SymbC1.scaffold1401.12,0.031898972,Gars,-1.558893034,-3.157207429,-2.811890114,-4.156335514,-2.530035178,-0.954324813,-0.558605022,-0.913122549,-3.951328732,-3.263504416,-4.110481259,-4.987754141
SymbC1.scaffold1384.2,0.032220089,Atp5b,-2.199102372,-2.992754918,0.195131769,-2.693428156,-4.535914704,-2.199308808,-0.594117216,-1.551797398,-4.206312682,-4.146841388,-3.111965521,-4.787654918
SymbC1.scaffold601.1,0.034516003,INP53,-3.906102865,-6.292706636,-2.077887242,-9.80000108,-2.638709473,-1.416459118,0.870226531,-2.67252256,-4.867088189,-4.661610819,-6.624135478,-8.015729772
SymbC1.scaffold384.10,0.034840844,ENO,-1.544320516,-1.859822342,-1.901068467,-5.581335105,-3.888968688,-1.684958291,0.174890967,-2.679606215,-7.473931188,-2.415037499,-3.539158811,-6.744833837
SymbC1.scaffold992.2,0.035275981,AK812_SmicGene43485,-0.861101894,-1.036673459,0.050331676,-3.058893689,-5.77546761,-1.584962501,0.035832106,1.818577917,-7.164936671,-3.555215157,-3.271596419,-2.380821784
SymbC1.scaffold225.5,0.035686309,THIC,-2.051544939,-3.069341086,-2.478353266,-5.673113733,-4.566023747,-1.885810561,-0.122556336,-1.356773948,-4.134038208,-2.918267621,-3.554588852,-6.13100461
SymbC1.scaffold4992.8,0.035999549,SAHH,-5.033629527,-3.854504761,-5.489822001,-11.64686076,-3.921935549,0.9268231,0.553579118,-0.771142939,-4.115364944,-4.942006392,-7.79229246,-9.877251609
SymbC1.scaffold517.7,0.036663977,norA,-0.435169099,-0.781885227,-1.241261953,-3.398017558,-2.967877527,-1.976283931,-0.795754925,-0.043569639,-4.103607469,-4.158808969,-2.905736049,-4.226850747
SymbC1.scaffold661.13,0.038048418,TPC1A,-1.539628967,-2.575659353,-0.702501293,-3.160665796,-2.873724877,-2.144656126,-0.648122213,0.031765856,-4.539417785,-3.164156377,-2.205987417,-3.229474312
SymbC1.scaffold8737.1,0.039996903,RNR1,-1.833315337,-2.924296765,-1.438648459,-5.127251105,-7.607318892,-3.736202474,-1.125076994,2.745277226,-12.35407088,-7.657241332,-7.193314003,-2.454061421
SymbC1.scaffold1524.1,0.043145151,AK812_SmicGene36,-2.258749775,-2.498532199,-1.01847711,-4.202070418,-3.432551348,-1.730370957,-0.29943193,0.098846312,-4.39900933,-4.413265245,-2.095143306,-4.520051329
SymbC1.scaffold5753.3,0.043816008,pht4,-0.280107919,1.041820176,-1.888968688,-4.359895945,-4.502500341,-1,2.98550043,1.27237227,-7.409390936,-4.584962501,-3.836501268,0
SymbC1.scaffold3578.5,0.044911279,PETH,-1.568453152,-1.836772906,-0.547141857,-4.738373789,-3.490355833,-1.330747796,0.663658783,0.214987387,-3.865246184,-3.327349219,-1.648244942,-4.365052107
SymbC1.scaffold5041.4,0.045272552,MTR1,-1.168911873,-1.695589802,-0.756708611,-3.301053553,-4.270906513,-2.693486957,-0.135637435,-0.803735471,-3.282419525,-3.046412807,-2.101773983,-4.138082164
SymbC1.scaffold3781.8,0.04691235,gpt,-1.971138605,-1.983382201,-0.449494287,-1.779969034,-5.029980997,-0.864344901,-0.084697165,0.838858591,-7.500523587,-3.886712714,-3.160464672,-2.601865044
SymbC1.scaffold272.8,0.047027217,eco47IIM,-2.040742419,-2.527645905,-0.900125308,-2.752213368,-3.563529774,-1.201633861,-1.97812782,1.035689192,-5.189134259,-3.344238257,-4.9256604,-2.167250867
SymbC1.scaffold3047.1,0.047764187,hgiCIIM,0.754887502,-3.611434712,-0.874469118,-2.22881869,0,-4.558967292,-2.511899039,0.595609745,0,0,-5.944858446,0
SymbC1.scaffold8254.1,0.04930858,ABCB1,-1.263020357,-0.86213112,0.648365398,-3.552574009,-3.772575455,-2.651051691,0.472333646,0.578934067,-3.846389871,-3.48112669,-0.852709034,-3.267645249