Gene_model,padj,GN,Hw1.Anti,Hw1.Heat,Hw1.Anti.Heat,Hw2.Anti,Hw2.Heat,Hw2.Anti.Heat,Wt1.Anti,Wt1.Heat,Wt1.Anti.Heat,Wt2.Anti,Wt2.Heat,Wt2.Anti.Heat
SymbC1.scaffold6282.1,0.00000815,fusA,-7.350256832,-8.739826154,-19.80996586,-9.810755626,-3.186018951,-14.66712514,-8.037394874,-2.612886787,-16.86424722,-13.73317677,-3.319919762,-15.36220936
SymbC1.scaffold4630.1,0.0000101,URA7,-1.082856935,-4.296555712,-4.335012803,-1.744551277,-2.593343133,-3.637245553,0.55553564,-1.351937845,-2.150319596,-2.01413694,0.437176428,-1.707657334
SymbC1.scaffold3133.1,0.0000103,DHX38,-1.806253311,-4.35192162,-6.36141361,-2.155477707,-1.742612157,-5.071083098,-1.866248611,-1.103287808,-4.744833837,-2.62154461,1.109358252,-2.990778419
SymbC1.scaffold9506.1,0.0000104,Acly,-1.721334055,-1.108357178,-5.963474124,-1.263227834,2.838928005,-4.237039197,-2.228100615,0.708052903,-7.028569152,-9.03860035,3.590649796,-7.842203138
SymbC1.scaffold1288.3,0.0000106,FTSH10,-1.802960564,-3.719562905,-5.430515755,-2.351198807,-1.683769561,-4.141063725,-0.59254113,-1.579725852,-4.659464682,-2.041778412,0.737941042,-2.89909274
SymbC1.scaffold620.14,0.000011,secA,-0.799144897,-3.505409016,-4.869150926,-1.254148803,-1.596271392,-4.23879618,-0.228321716,-0.493981236,-2.464878413,-2.472774603,-0.072563706,-3.122293585
SymbC1.scaffold4330.1,0.0000125,rsmA,-2.321928095,0,0,-3.058893689,0.263034406,-1.736965594,-5,1.022367813,-4.415037499,-5.409390936,-0.539026217,0
SymbC1.scaffold12411.1,0.0000127,ML5,-3.492930427,-5.707947407,-8.083164343,-6.729949774,-4.17492833,-5.343407822,-2.611242121,0.551307672,-4.184931892,-13.46920984,1.162621971,-7.179284483
SymbC1.scaffold2574.4,0.0000139,dnaJ,-2.404073077,-3.405772006,-4.814238266,-3.17508745,-1.183358824,-4.587747627,-2.534739922,-0.682047642,-5.72474148,-5.151588942,-1.482845707,-6.925786412
SymbC1.scaffold4763.1,0.0000139,SUF4,-2.503718111,-3.182954528,-6.467890032,-4.257951226,-1.526666872,-4.572846214,-4.054693776,-1.745481113,-6.69515139,-4.95757675,-1.249746072,-5.108584538
SymbC1.scaffold2567.5,0.0000153,Rraga,-2.471419969,-3.900263268,-5.994981925,-3.623132167,-1.582346553,-5.298553587,-0.877099698,0.011337544,-3.688467076,-5.438774743,-1.026244099,-5.116846648
SymbC1.scaffold9358.1,0.0000157,GIP,-1.312781834,-4.513569051,-4.692590845,-2.908661393,-2.392285807,-4.160345653,-1.365649472,0.360175564,-3.043721377,-6.653687199,-0.090479517,-8.86870009
SymbC1.scaffold5345.4,0.0000172,AK812_SmicGene25788,-5.778858329,-5.600137475,-18.66919066,-7.592473074,-2.41658987,-10.73532288,-3.92721058,4.676474549,-8.737011197,-9.686182157,2.260106214,-9.787748171
SymbC1.scaffold14557.2,0.0000193,AK812_SmicGene1499,-0.672323973,-3.759556059,-2.895222154,-1.391618121,-2.438167777,-3.103035768,-0.382291119,-1.526301885,-2.75455205,-2.578908767,-0.465865254,-2.937653803
SymbC1.scaffold8222.1,0.0000222,RPA1,-3.004254251,-2.83940919,-4.674209265,-5.102278289,-1.469903675,-5.015561878,-3.064982864,-1.57673676,-6.824750496,-5.748476192,-2.263044914,-7.339710928
SymbC1.scaffold3136.2,0.0000224,impdh,-2.095803457,-2.262926403,-3.571952471,-3.612659482,-1.22851053,-3.996247865,-3.466318004,1.009718129,-2.674559937,-9.0238392,1.099332032,-3.298699041
SymbC1.scaffold7352.1,0.0000245,AIP1,-1.958844327,-3.471085099,-6.782901878,-2.692858188,-0.718149344,-5.469932478,-2.180915785,1.364794744,-4.070389328,-6.185866545,0.251094793,-2.378511623
SymbC1.scaffold5575.4,0.0000307,KHSRP,-1.474528854,-3.387118086,-4.522632701,-2.508916097,-1.51195258,-3.972000065,-1.870821093,-0.081679095,-3.540202152,-3.243332481,-0.506358328,-4.795014502
SymbC1.scaffold6845.2,0.0000312,RPS6,-1.307168846,-3.200540185,-4.085269131,-2.202577429,-1.702763505,-4.019590728,-1.221235519,-0.317127109,-3.019005762,-3.377281539,-0.456092626,-3.93053518
SymbC1.scaffold2069.5,0.000033,ODA11,-6.585533745,-8.467183285,-9.516510997,-8.999825858,-4.549468137,-8.595076136,-2.71769726,2.604629534,-5.172351739,-8.154750971,-0.276460142,-6.314427992
SymbC1.scaffold2573.1,0.0000353,DNAH9,-0.741081703,-4.364012054,-5.522441416,-1.883656216,-2.784526993,-4.292321633,-1.079461991,-0.400640439,-1.058043008,-2.894817763,-0.907007172,-2.506616449
SymbC1.scaffold6108.5,0.0000391,ppdK,-4.590428881,-9.767537568,-15.68320823,-9.134693468,-5.196311021,-8.527926956,0.178780889,1.023093763,-9.345219342,-6.376596068,-0.437745335,-12.1528174
SymbC1.scaffold4053.3,0.0000432,PFOR,-1.963644976,-5.771129907,-4.62316034,-4.186449439,-1.511761378,-8.590612637,-4.155476403,-0.495014919,-11.5348038,-12.71770966,0.748505873,-2.151770981
SymbC1.scaffold2783.6,0.0000437,Hcn4,-0.429301399,-2.271315812,-4.471322919,-0.248124923,-1.557114516,-4.136782717,-1.167693993,-0.97924144,-3.605322197,-3.131418761,-0.832010286,-3.502902681
SymbC1.scaffold2575.1,0.0000556,FNTB,-1.491853096,-4.254813899,-5.398743692,-0.684498174,0.192645078,-2.485426827,-0.251538767,0.511899039,-0.506959989,-3.847996907,-0.409323848,-5.639410285
SymbC1.scaffold5602.4,0.0000565,GBE1,0.584962501,0,-0.263034406,2.087462841,-0.263034406,1.169925001,-1.762823762,1.474000764,-1.303606814,0,-8.431845787,-5.209453366
SymbC1.scaffold5363.2,0.0000596,Top3b,-1.502981344,-6.610020572,-10.55350027,-3.275433321,-3.563788544,-8.834298071,-0.602076942,-1.347690461,-6.772542987,-4.438615263,0.97737822,-5.190287573
SymbC1.scaffold451.4,0.0000607,SPAC56F8.03,-1.232473135,-1.891920623,-3.436298653,-1.927962093,-0.733963106,-4.76611194,-2.532495081,2.763018051,-0.229932311,-8.830889679,1.213305709,-4.353041114
SymbC1.scaffold8593.1,0.0000617,PDPK2,-2.014626607,-5.613199169,-5.936076093,-2.077486631,-2.345891338,-2.934411658,-1.912248128,-1.063727463,-4.307833265,-3.425021588,0.544117448,-4.857980995
SymbC1.scaffold11067.1,0.0000639,ADGB,-1.354618751,-4.298978392,-6.540282769,-1.135537239,-1.880965665,-5.435554517,-0.418331875,0.611442909,-1.313149638,-2.022087246,1.303332953,-3.169445511
SymbC1.scaffold649.2,0.0000711,SHM4,-4.276074704,-7.442083902,-8.562280854,-6.920172682,-3.870536454,-8.415454424,-2.447606169,-1.917336534,-8.565694512,-6.88535046,-1.630941549,-8.54014284
SymbC1.scaffold2695.11,0.0000816,AK812_SmicGene26895,-2.302750947,-4.515575755,-4.502034868,-3.319710477,-2.166858035,-3.546655431,-1.146070171,-0.388859562,-3.845349087,-3.894009304,-1.025911192,-5.637441331
SymbC1.scaffold507.6,0.0000816,At3g62310,-2.005597369,-4.443892362,-4.1258259,-2.931581458,-1.987209877,-3.519184073,-1.874283691,-3.161656338,-6.383638845,-1.581413434,1.648725229,-1.981584429
SymbC1.scaffold1375.1,0.0000881,CHR23,-1.936949032,-3.179396132,-5.22089116,-3.053731622,-1.693305736,-4.570500558,-1.506358056,-0.742648851,-5.100331798,-3.762905425,-0.339930241,-4.592896544
SymbC1.scaffold249.4,0.000105,RH35,-3.920021592,-7.831776511,-10.7541137,-5.806449795,-3.27533552,-8.425215903,-2.184049261,-1.590678326,-6.113909202,-7.16734122,-0.389685341,-8.740417098
SymbC1.scaffold1379.4,0.000109,DED1,-3.358002453,-2.84298095,-4.636938554,-5.419964308,-1.478527754,-6.233203785,-1.211303472,0.839994824,-5.504214503,-6.407843851,-2.755476924,-8.030774202
SymbC1.scaffold120.4,0.000116,ENDOV,-1.771093055,-3.938289385,-3.776831877,-3.009765646,-2.101925573,-2.819838995,-1.435291669,-0.582730447,-4.14028679,-2.039077609,0.148080612,-2.846417034
SymbC1.scaffold2496.5,0.000119,AK812_SmicGene42205,-1.728647413,-3.962607536,-3.19538444,-2.648896391,-2.137060368,-3.803130336,-2.38695733,-0.390201042,-4.747683709,-5.225543558,-2.684498174,-5.880895387
SymbC1.scaffold43.5,0.000121,bglX,-2.07118386,-3.852316675,-6.211147664,-3.52553019,-2.181082791,-4.972840858,-2.571429345,-1.790752955,-5.655351829,-3.928661218,-1.274515152,-3.869160207
SymbC1.scaffold1915.2,0.000129,PU1,-1.566096186,-3.267523253,-4.916277624,-2.871868988,-1.333989251,-4.635317577,-1.80128677,-0.580645283,-4.401200388,-4.101833039,0.280037597,-4.031097076
SymbC1.scaffold5825.1,0.000136,GART,-1.141266098,-3.500891588,-3.580631434,-2.284110844,-1.819782012,-3.863204292,-2.253421367,-0.403350404,-4.425018854,-4.090637467,-0.565425773,-3.65674094
SymbC1.scaffold5913.1,0.000142,bPT2,-0.649502753,-4,-3.862496476,-0.971430848,-1.459431619,-3.389042291,0.491853096,2.50779464,-0.207993042,-3.927724099,-0.686716,-3.731803889
SymbC1.scaffold3751.1,0.000144,Catsper1,-2.7338747,-5.022787737,-5.003335375,-4.395072786,-3.069540933,-3.91753784,-0.234465254,0.847996907,-3.129283017,-5.63005039,-1.585656271,-6.393011193
SymbC1.scaffold4234.1,0.000147,RUB1,-5.334235786,-10.01016287,-12.33411911,-7.303764298,-5.59678963,-11.65173905,-2.179124177,-1.203901259,-10.98329699,-11.61978837,-4.404854732,-15.88841172
SymbC1.scaffold724.13,0.000152,dnc,-2.543215813,-7.074260771,-7.206101571,-4.400568788,-3.547951193,-6.643091621,-2.457935442,-0.902945231,-6.2531475,-7.224623087,-0.069566192,-6.769922003
SymbC1.scaffold4088.3,0.000156,MGLL,-1.225448045,-3.306815449,-3.651420212,-1.026855577,-1.956327817,-3.239288595,0.355557437,0.124214782,-2.477273189,-2.419577961,-0.481500534,-3.634996202
SymbC1.scaffold1202.3,0.000163,FAM72A,-1.461766215,-3.844409201,-5.055469331,-2.47997081,-1.410522018,-5.28766527,-1.983356914,0.619432907,-4.173982824,-4.151479334,-0.007089425,-4.727566896
SymbC1.scaffold4461.3,0.000188,xpot,-1.395928676,-4.169925001,-7.524274574,-1.289013472,0.354842717,-4.285402219,-1.584962501,-2.192645078,-5.514573173,-1.159871337,0.483984853,-4.060335663
SymbC1.scaffold4630.2,0.000209,HSPA1L,-1.955027631,-4.353174133,-5.585297061,-2.977328259,-1.80262223,-3.994055222,-1.590302399,-1.033909051,-4.315984485,-3.483991681,-0.86154893,-5.076149684
SymbC1.scaffold4297.3,0.000233,BIP5,-2.845300372,-7.917226627,-10.91848822,-4.667219957,-3.713808333,-9.330123253,-1.017905304,-0.201645265,-5.322618933,-6.07895951,0.45645315,-6.871684056
SymbC1.scaffold2106.11,0.000247,Dnah1,-1.349546586,-3.606551516,-4.034435895,-1.957658016,-1.947784127,-3.615414285,-1.772455973,0.009735016,-2.460331709,-3.936399838,-0.395053354,-4.117325642
SymbC1.scaffold7971.2,0.000248,CPK8,-2.99095486,-3.65325945,-5.583638398,-4.1155707,-1.297680549,-3.947738078,-0.087462841,-4.087462841,0,0,3.584962501,0
SymbC1.scaffold91.17,0.000254,PGK2,-0.961481545,-5.506195301,-9.130209058,-2.650010913,-2.260133486,-9.302285951,0.209336674,5.001591914,-0.604725991,-13.07937845,0.887151163,-8.157478796
SymbC1.scaffold845.4,0.000265,iksA,-1.397047575,-3.526563078,-6.102471811,-2.675687487,-2.28913816,-4.009984089,-1.468764963,-0.463407553,-4.717501177,-4.054726055,-1.232611485,-5.158837953
SymbC1.scaffold6067.2,0.000281,ASPM,-2.899712218,-9.604458292,-10.85799941,-2.488037943,-1.479803432,-4.30180513,-0.328935518,2.714159094,-2.29200263,-9.40360154,0.596481851,-2.801248903
SymbC1.scaffold4148.1,0.000283,THO3,-0.736965594,-0.932885804,-6.129283017,-1.736965594,-0.678071905,-2,0,3.94753258,2.351074441,0,0.66801824,-2.906890596
SymbC1.scaffold2797.1,0.00029,Ctob_010821,-1.4846026,-3.903899838,-4.046823221,-2.586852658,-2.316874867,-3.574371089,-1.371408616,-0.032150524,-3.792523303,-4.162787059,-0.86764419,-4.655708098
SymbC1.scaffold7888.1,0.000303,SPAC4G8.04,-2.2393655,-1.510961919,-5.640244936,-4.232479114,-0.507686787,-7.122396631,-3.169925001,-1,0,0,1.736965594,0
SymbC1.scaffold968.4,0.000339,CLPB1,-1.343710517,-3.660405056,-7.201691512,-1.764042316,-1.349942471,-4.50779464,-0.584515084,-1.310340121,-3.854660637,-3.108996003,1.213722827,-2.281635389
SymbC1.scaffold954.10,0.000342,DHC10,-1.74512925,-3.667487154,-5.382806505,-2.456748858,-1.519890237,-3.375453354,-1.729557906,-0.026026735,-2.779575155,-3.874760393,0.3283119,-4.166672742
SymbC1.scaffold1073.1,0.000345,frs-2,-1.348603184,-3.014765128,-3.178372248,-2.904402591,-1.398018915,-3.15207076,-1.942246429,-1.099402422,-4.657536364,-4.920331969,-1.12971923,-4.951423496
SymbC1.scaffold1541.4,0.000348,AK812_SmicGene5851,-1.328601384,-3.695935219,-3.907080486,-2.310425793,-2.369924727,-3.971177165,-0.866741884,-0.576889335,-2.632567876,-2.534613597,0.152574711,-3.237359473
SymbC1.scaffold7610.3,0.000366,Psmc6,-1.855730591,-4.279498016,-4.925947778,-2.76489406,-2.017277578,-4.115703486,-0.772434803,-0.236282176,-2.678472403,-3.182222784,0.630144034,-3.664234903
SymbC1.scaffold202.13,0.000368,Atp5a1,-5.130451626,-9.842031902,-8.934639269,-6.92258383,-3.307373254,-6.437171659,-2.043026407,1.300086079,-3.375008167,-7.301721523,-1.775709295,-7.938059916
SymbC1.scaffold1148.2,0.000397,NNT,-2.04683825,-3.643925766,-7.032421478,-5.377945772,-1.993305347,-7.885696373,-2.451211112,2.40053793,-4.866248611,-7.87036472,-0.950011864,-4.197939378
SymbC1.scaffold2243.2,0.000402,Ot13g03040,-1.681452063,-3.633934577,-5.071954948,-2.4619241,-1.391385635,-3.320607953,-1.121789547,-0.654974192,-3.972064816,-3.233645322,0.414941029,-3.0473015
SymbC1.scaffold5695.1,0.00042,modA,-0.779994752,-4.335603032,-6.041745702,-1.613597124,-1.13058411,-5.761840263,-1.177664499,0.444772707,-4.140448504,-3.84861095,1.156014107,-4.033119275
SymbC1.scaffold2391.2,0.000423,ALATS,-1.295112458,-3.193769795,-2.835808596,-2.31576666,-1.800872994,-2.965150101,-1.829517081,-0.942626359,-3.790681853,-3.049821026,0.268371396,-2.693896872
SymbC1.scaffold114.1,0.00044,RPT1A,-1.598242785,-4.153470206,-4.432247348,-2.016307977,-1.827456128,-3.760341932,-0.982617607,0.134501036,-2.361240147,-4.672289917,-0.389639804,-3.151622987
SymbC1.scaffold3881.7,0.000499,CCT6A,-0.876298015,-3.446952679,-2.672019235,-0.049780836,-1.366127899,-2.273018494,-0.106915204,0.230780207,-0.837728571,-3.721179627,-0.068861858,-3.295309644
SymbC1.scaffold8457.1,0.000502,GCLC,-1.422820363,-3.788429087,-3.969368871,-2.088150657,-2.129049101,-2.497207535,-0.67555601,-0.347274419,-3.096881879,-2.401999976,-0.825257982,-3.835896503
SymbC1.scaffold826.1,0.000511,cpsf5,-2.029862801,-4.180287952,-5.601821998,-3.614714669,-1.337081572,-4.293445719,-2.234337674,0.079324294,-3.929618869,-4.255919554,0.095187411,-5.212699025
SymbC1.scaffold2496.8,0.000524,Dnah5,-2.608359354,-3.957102042,-1.999699741,-4.491845345,-1.74507824,-3.925891558,-1.684841655,0.212608138,-3.213925,-4.961350952,-1.31880096,-4.677254931
SymbC1.scaffold2368.3,0.000549,DHC1,-2.709140593,-7.873749306,-10.65327064,-4.821142747,-3.328305582,-9.09864897,-4.079761576,-3.733977157,-11.1190099,-4.924634683,0.269592415,-8.299445479
SymbC1.scaffold2845.2,0.000613,At1g70730,-2.09310161,-9.214750674,-7.752205179,-3.153715719,-3.547304588,-2.402098444,-0.74805695,-0.915238724,-1.930472895,-3.549098985,-0.477204784,-3.106402221
SymbC1.scaffold4973.3,0.000621,fumB,-1.645823286,-3.98660284,-5.078153603,-2.90409183,-1.929939391,-3.977549019,-1.17882934,-0.837115261,-3.197159938,-3.079327045,-0.582479713,-4.524462235
SymbC1.scaffold236.11,0.000652,PGIC1,-1.581309094,-3.518394887,-5.094088791,-2.624950579,-1.958480731,-4.315594793,-1.414736224,-0.399391469,-3.891051639,-4.788937559,-0.417937904,-4.988368612
SymbC1.scaffold6124.1,0.000658,TDP1,-1.776612842,-3.234800663,-4.54575596,-2.763676221,-1.614709844,-3.47175189,-2.559029347,-0.702714836,-2.627873278,-5.019899557,-0.557556343,-3.455114939
SymbC1.scaffold3589.1,0.000685,CSB,-1.547010117,-3.212556554,-4.180800849,-2.325474256,-1.645937894,-3.234558045,-1.315088466,-1.137414937,-3.136105467,-2.561476866,0.501260798,-3.642240487
SymbC1.scaffold1416.4,0.00072,Os01g0197200,-1.90914664,-3.038013405,-3.465024839,-3.361181768,-1.964683424,-3.632268215,-1.529702698,0.081295576,-3.545712407,-4.366776066,-0.48728348,-4.334876563
SymbC1.scaffold826.6,0.000802,DIMT1,-1.721528905,-8.841101797,-9.980094939,-3.219534228,-5.089920584,-6.291554446,-1.751065791,-2.499527024,-4.40641762,-5.361505198,-0.938599455,-3.776542697
SymbC1.scaffold4073.1,0.000843,At1g09620,-1.692964598,-4.715687492,-5.009046435,-2.941352227,-2.012939056,-3.637429921,-1.403355694,0.848898873,-3.232021123,-4.822220272,-0.430839968,-5.225068362
SymbC1.scaffold8347.1,0.00086,eIF-2gamma,-1.483306248,-3.087355133,-5.294924909,-2.697625369,-1.830269314,-4.396013899,-1.687274542,-0.835213501,-5.506555531,-6.047114475,-0.435028059,-3.54576249
SymbC1.scaffold3756.4,0.000887,ileS,-0.894658793,-3.530724264,-4.378906221,-0.990740855,-1.191802679,-2.900396529,-0.888246419,-0.976482193,-2.773110709,-2.019305597,0.483919898,-2.06206297
SymbC1.scaffold5006.2,0.00089,At5g26710,-1.337075646,-4.702657616,-5.817130171,-2.135101418,-2.18505627,-3.968046644,-0.307988904,0.002958639,-2.214005836,-3.816251628,-0.232249537,-4.177299489
SymbC1.scaffold4842.4,0.000895,UBA1,-2.330303428,-4.251693593,-4.932682982,-3.600884643,-2.26052755,-3.430452552,-2.161398141,-0.970828064,-3.444145208,-3.4973449,-2.185355042,-5.461479447
SymbC1.scaffold426.2,0.00093,Chek2,-0.340571007,-2.827948117,-4.975611265,-1.418421872,-2.22894441,-4.079368054,-1.316559133,-1.200721647,-3.333276527,-2.607702574,1.32445311,-2.792920634
SymbC1.scaffold739.3,0.00094,PPP5C,-0.909312062,-4.095004379,-4.86624334,-0.937508954,-1.586825245,-4.510589659,-0.910528142,-0.279971255,-2.877242897,-4.321928095,0.885357434,-3.206450877
SymbC1.scaffold344.6,0.000976,AK812_SmicGene39686,-1.019351994,-4.438258726,-4.061882847,-1.917491725,-1.67269135,-2.756484287,-0.872315537,-0.998486337,-3.859224162,-2.499442598,1.274526887,-1.594575287
SymbC1.scaffold304.13,0.001022015,sec61a,-2.310164245,-7.682557764,-8.171686321,-3.056778962,-4.378686485,-8.370349401,-0.220667069,-0.325366951,-5.936539654,-7.876631215,0.44470555,-6.838171987
SymbC1.scaffold1616.6,0.001038413,AK812_SmicGene31214,-1.413611292,-2.986106314,-4.126424854,-1.851689032,-1.30256277,-3.575581264,1.125062016,2.058585058,-0.918145163,-3.353636955,-0.225797355,-5.344648171
SymbC1.scaffold1600.1,0.00109782,unc-104,0,0,0,0,0,0,0,1.684498174,-1.222392421,0,0,0
SymbC1.scaffold4007.3,0.001150029,ppsB,-1.643287034,-3.098824737,-5.023075316,-1.584055496,-1.101760339,-3.364794744,-2.246190896,-1.069176469,-3.626124594,-3.83540254,0.378521655,-3.301598079
SymbC1.scaffold800.2,0.001262616,AK812_SmicGene33715,-2.612605256,-3.377128262,-8.212089356,-2.978060726,-1.18604622,-5.479331176,-1.895068473,-0.082795361,-4.599290452,-5.131928064,-1.231701199,-6.242427606
SymbC1.scaffold1894.1,0.00127366,Mcat,-1.333243408,-4.255390793,-4.48065711,-1.98632211,-2.030839306,-4.156427437,-0.130385205,0.088546074,-2.956772757,-3.58323782,0.322119828,-2.796716402
SymbC1.scaffold213.3,0.001276804,ACAC,-2.998767449,-6.806648486,-9.690313983,-4.752007986,-3.228050336,-9.541270977,-2.771953089,-0.034179659,-5.78694132,-6.917242892,0.646370548,-6.412698624
SymbC1.scaffold2850.1,0.001437666,gapN,-0.165857632,-3.915879379,-6.848063995,-0.562563308,-1.740660078,-6.441099796,-0.995540352,-1.843537258,-5.01346226,-3.514573173,-0.173536255,-4.152003093
SymbC1.scaffold5671.1,0.00157525,TY5A,-0.468048193,-3.345855838,-3.459544349,-1.113102563,-1.722406225,-2.915799253,-0.557628934,-1.389058428,-2.413860208,-2.487881848,0.332192054,-1.920688947
SymbC1.scaffold5548.2,0.001587951,MPA1,-2.47608578,-3.46982679,-3.922832139,-3.508507258,-1.69138456,-3.784033848,1.514573173,3.362570079,-0.222392421,-3.832890014,1.506959989,-2.417852515
SymbC1.scaffold2276.3,0.001816261,Esyt3,-3.795314138,-7.521455023,-12.21474767,-6.403002241,-3.398732017,-8.870530375,-2.234624339,0.551339411,-5.570501383,-10.68325783,0.136227368,-8.791140841
SymbC1.scaffold4815.1,0.001879346,AQR,-2.299107816,-2.223022096,-5.500930713,-3.344195706,-1.231856401,-3.949527006,-2.597889365,0.623316744,-3.004453323,-5.045972961,0.62928044,-4.515886789
SymbC1.scaffold1576.12,0.002032246,Eftud2,-0.64159367,-3.454654854,-3.182224514,-1.063040184,-1.837322642,-2.697309473,0.166754148,-0.3995485,-1.52283352,-2.297753802,-0.134977365,-2.485277112
SymbC1.scaffold3428.2,0.002034657,AK812_SmicGene34664,-0.317590569,-2.395726245,-2.801886315,-0.369820528,-0.428843299,-2.222392421,-1.711702142,-0.305141314,-4.101456113,-1.674843882,0.996388746,-2.016655401
SymbC1.scaffold127.8,0.002096309,AMT1-1,-0.924948726,-3.567972954,-2.687143537,-1.660721256,-2.073589855,-3.113583262,-0.438724224,-0.476199096,-2.9650611,-3.369067524,-1.607967272,-4.713689302
SymbC1.scaffold1889.7,0.002101203,Dync1h1,-1.133351197,-4.319897101,-5.050052547,-1.463245378,-2.416657595,-3.822001698,0.486451015,-2.533914446,-5.007421249,-1.070120944,1.927999322,-1.8417738
SymbC1.scaffold4325.2,0.002102787,HMCN1,-1.350003504,-3.833630946,-4.996373183,-2.368447824,-1.52782927,-5.813231488,-0.559102467,-0.781257427,-3.645195878,-2.296049463,0.983552159,-3.952882713
SymbC1.scaffold4218.1,0.002125671,nasB,-1.047880944,-3.378469842,-4.226665003,-1.646749679,-1.496299001,-2.55386116,0.213343997,0.163827287,-1.681115251,-2.767163784,0.325793131,-2.614476402
